asset,time,TxTfrCnt
usdc,2021-04-10T00:00:00.000000000Z,333386
usdc,2021-04-11T00:00:00.000000000Z,329191
usdc,2021-04-12T00:00:00.000000000Z,352152
usdc,2021-04-13T00:00:00.000000000Z,363661
usdc,2021-04-14T00:00:00.000000000Z,386016
usdc,2021-04-15T00:00:00.000000000Z,328851
usdc,2021-04-16T00:00:00.000000000Z,381858
usdc,2021-04-17T00:00:00.000000000Z,361880
usdc,2021-04-18T00:00:00.000000000Z,461413
usdc,2021-04-19T00:00:00.000000000Z,406495
usdc,2021-04-20T00:00:00.000000000Z,413501
usdc,2021-04-21T00:00:00.000000000Z,408870
usdc,2021-04-22T00:00:00.000000000Z,477289
usdc,2021-04-23T00:00:00.000000000Z,500188
usdc,2021-04-24T00:00:00.000000000Z,503726
usdc,2021-04-25T00:00:00.000000000Z,520577
usdc,2021-04-26T00:00:00.000000000Z,575511
usdc,2021-04-27T00:00:00.000000000Z,539566
usdc,2021-04-28T00:00:00.000000000Z,566934
usdc,2021-04-29T00:00:00.000000000Z,822589
usdc,2021-04-30T00:00:00.000000000Z,785086
usdc,2021-05-01T00:00:00.000000000Z,524535
usdc,2021-05-02T00:00:00.000000000Z,454319
usdc,2021-05-03T00:00:00.000000000Z,456857
usdc,2021-05-04T00:00:00.000000000Z,477677
usdc,2021-05-05T00:00:00.000000000Z,453465
usdc,2021-05-06T00:00:00.000000000Z,448655
usdc,2021-05-07T00:00:00.000000000Z,447566
usdc,2021-05-08T00:00:00.000000000Z,430407
usdc,2021-05-09T00:00:00.000000000Z,427949
usdc,2021-05-10T00:00:00.000000000Z,498012
usdc,2021-05-11T00:00:00.000000000Z,501095
usdc,2021-05-12T00:00:00.000000000Z,546381
usdc,2021-05-13T00:00:00.000000000Z,610467
usdc,2021-05-14T00:00:00.000000000Z,546054
usdc,2021-05-15T00:00:00.000000000Z,563968
usdc,2021-05-16T00:00:00.000000000Z,588663
usdc,2021-05-17T00:00:00.000000000Z,626623
usdc,2021-05-18T00:00:00.000000000Z,609189
usdc,2021-05-19T00:00:00.000000000Z,888882
usdc,2021-05-20T00:00:00.000000000Z,666999
usdc,2021-05-21T00:00:00.000000000Z,800911
usdc,2021-05-22T00:00:00.000000000Z,489003
usdc,2021-05-23T00:00:00.000000000Z,570472
usdc,2021-05-24T00:00:00.000000000Z,512101
usdc,2021-05-25T00:00:00.000000000Z,541179
usdc,2021-05-26T00:00:00.000000000Z,505345
usdc,2021-05-27T00:00:00.000000000Z,458509
usdc,2021-05-28T00:00:00.000000000Z,487753
usdc,2021-05-29T00:00:00.000000000Z,442109
usdc,2021-05-30T00:00:00.000000000Z,408239
usdc,2021-05-31T00:00:00.000000000Z,456124
usdc,2021-06-01T00:00:00.000000000Z,443044
usdc,2021-06-02T00:00:00.000000000Z,402022
usdc,2021-06-03T00:00:00.000000000Z,413572
usdc,2021-06-04T00:00:00.000000000Z,432813
usdc,2021-06-05T00:00:00.000000000Z,400641
usdc,2021-06-06T00:00:00.000000000Z,348140
usdc,2021-06-07T00:00:00.000000000Z,413702
usdc,2021-06-08T00:00:00.000000000Z,484798
usdc,2021-06-09T00:00:00.000000000Z,434130
usdc,2021-06-10T00:00:00.000000000Z,402872
usdc,2021-06-11T00:00:00.000000000Z,393451
usdc,2021-06-12T00:00:00.000000000Z,388094
usdc,2021-06-13T00:00:00.000000000Z,348935
usdc,2021-06-14T00:00:00.000000000Z,385989
usdc,2021-06-15T00:00:00.000000000Z,378434
usdc,2021-06-16T00:00:00.000000000Z,409440
usdc,2021-06-17T00:00:00.000000000Z,384197
usdc,2021-06-18T00:00:00.000000000Z,376212
